domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.hurriyet.com.tr,0.0687237077770837,0.19839325124313598,0.42576980391533314,0.21599565613253902,274.0
www.yenicaggazetesi.com,0.03050926635042084,0.21929388184959092,0.4680681109065661,0.23766855910076407,258.0
www.haber7.com,-0.0064472748316498334,0.1883509389229464,0.41361398909732244,0.2355856629324456,180.0
www.haberturk.com,0.02646763819018283,0.16534716923070233,0.4286791475974168,0.19546400789973675,130.0
www.sabah.com.tr,0.08537269343242794,0.2101644680281541,0.46583919366441495,0.16972918599090453,113.0
anlatilaninotesi.com.tr,0.039649796591487554,0.12822693946449423,0.36734618887753,0.22740409830531252,98.0
www.patronlardunyasi.com,0.029319995936375243,0.20163504085163608,0.4098100773747325,0.24549734626040656,87.0
www.odatv.com,0.02096099516624208,0.2003513007546131,0.38641552577509364,0.232397741042323,81.0
www.aa.com.tr,0.04274266474266474,0.20602066976605005,0.39764253647586983,0.24615992132490425,45.0
www.chip.com.tr,0.04562588040266612,0.16201458230698731,0.5238497317277079,0.15280085528267218,30.0
spor.haber7.com,0.19988095238095238,0.18630031370058722,0.44676190476190475,0.2613041407381978,20.0
video.haber7.com,-0.08240506569453938,0.40475546524404543,0.562754139135718,0.2800820599172239,19.0
www.donanimhaber.com,0.07533199643493761,0.11380965758154087,0.3183125371360665,0.17533604136936198,17.0
ekonomi.haber7.com,0.0680636442550505,0.22007147918933606,0.41412247474747477,0.219426170183299,16.0
www.bbc.com,0.07282016594516594,0.21968161732788583,0.36792568542568543,0.2148471642555704,7.0
shiftdelete.net,0.11372448979591836,0.16185175384225375,0.5225143563919075,0.10840872528270436,7.0
www.gezelim.com,0.23097835497835498,0.21977631657360577,0.4207056277056277,0.21153650174969038,5.0
webrazzi.com,0.0,1.0,0.0,1.0,1.0
bigumigu.com,0.0,1.0,0.0,1.0,1.0
www.yazaroku.com,0.0,1.0,0.0,1.0,1.0
